beta_ab,ab_combo,zeta_gamma,zeta_ab,phi,field_energy,entropy
1,REGN10933,-4.123584912636315,0.039592836091446926,0.37409405829152115,-75.33989729443398,0.10583863779584135
3,REGN10933,-4.130316558119511,0.02490359695008909,0.37860815725440533,-75.31444065075773,0.10486322169442985
5,REGN10933,-4.1303415846807425,0.0201006719512265,0.38002422786377094,-75.2970449003501,0.10524767253706102
1,COV2-2196,-4.122923386135405,0.030032264515306717,0.3734601851597339,-75.34206165865716,0.10546526184626259
3,COV2-2196,-4.128303797761141,0.019104981514063257,0.3772353268781814,-75.32263895695579,0.10517302138944729
5,COV2-2196,-4.131381836141824,0.016419194343582078,0.37926349934385034,-75.31199555388713,0.10475641962803195
1,REGN10987,-4.108562937765807,0.026460672765857896,0.3728851579018685,-75.35791770532644,0.10415929716228334
3,REGN10987,-4.102952534848483,0.017252735630012117,0.3759791144264219,-75.35174785713394,0.10372985727642003
5,REGN10987,-4.100409810290697,0.014946654685345562,0.3776614021564023,-75.34763853322241,0.10341232156872593
1,REGN10933_REGN10987,-4.111608381959171,0.07040070876494187,0.37775021771557044,-75.33769468190701,0.10821187566126866
3,REGN10933_REGN10987,-4.109131219842062,0.04499554542143941,0.3848108095435989,-75.302834510668,0.10867916578290249
5,REGN10933_REGN10987,-4.105241857890528,0.03705103820657346,0.3878966203212351,-75.27942994077951,0.10858312637633105
1,REGN10933_COV2-2196,-4.127481530772757,0.0515771426053962,0.37638352774967876,-75.32763447515364,0.10494062321619424
3,REGN10933_COV2-2196,-4.1333724097934486,0.036504402861426866,0.3807915764572506,-75.3031522353951,0.10310377918810332
5,REGN10933_COV2-2196,-4.13248656924281,0.031203002030304128,0.382364845682748,-75.28390259294181,0.10431014749887879
0,REGN10933,-4.119580560997224,0.08992178554101171,0.36839925713289057,-75.36186588241708,0.100950408041669
0.1,REGN10933,-4.119911940881762,0.08116698348504386,0.36892003577690846,-75.3611478562797,0.1009774810188162
0.5,REGN10933,-4.121423003019166,0.053747423544418416,0.37173823273771806,-75.3512334451343,0.10414408733670655
0,COV2-2196,-4.119580560997224,0.08187505487640923,0.36839925713289057,-75.36186588241708,0.100950408041669
0.1,COV2-2196,-4.120092122964599,0.07152474829353478,0.3691143535070649,-75.36078673112569,0.10125122153284849
0.5,COV2-2196,-4.121524000102897,0.041557878489962174,0.3716485155548746,-75.35088931416269,0.10425770699862369
0,REGN10987,-4.119580560997224,0.08535383612279612,0.36839925713289057,-75.36186588241708,0.100950408041669
0.1,REGN10987,-4.117769343592008,0.06835160777987087,0.36919304941303194,-75.36217459349402,0.10190521082240878
0.5,REGN10987,-4.11147138709025,0.0364929502314813,0.37134368929742406,-75.36027061952737,0.10433545578565884
0,REGN10933_REGN10987,-4.119580560997224,0.1752756216638079,0.36839925713289057,-75.36186588241708,0.100950408041669
0.1,REGN10933_REGN10987,-4.118089724767219,0.15044495501321864,0.369659010545943,-75.3615237386212,0.10185755234525118
0.5,REGN10933_REGN10987,-4.112723770690274,0.0937225077378454,0.3741326910400876,-75.35054275925279,0.10714009260431112
0,REGN10933_COV2-2196,-4.119580560997224,0.171796840417421,0.36839925713289057,-75.36186588241708,0.100950408041669
0.1,REGN10933_COV2-2196,-4.120119021578647,0.13396968068473364,0.3698332673112027,-75.35860858755835,0.10254014805890677
0.5,REGN10933_COV2-2196,-4.1229543343035955,0.06952206820067958,0.373714936661573,-75.34110657909085,0.10565546170485618
