seqid,log_likelihood
0,-1.2426466794358086
1,-1.2363372488120168
2,-1.2274275317634504
3,-1.2431914339360504
4,-1.2820456593307024
5,-1.238910163800741
6,-1.2522560984817976
7,-1.2838548483307828
8,-1.2571544843850677
9,-1.2768288838494684
10,-1.2627851348562338
11,-1.222123136225435
12,-1.241881773643887
13,-1.2409833141208924
14,-1.2503419856435245
15,-1.2294387030847294
16,-1.2847861063849066
17,-1.2710736461521424
18,-1.2739149270598422
19,-1.238969940500161
20,-1.2280566028712951
21,-1.2443235731616462
22,-1.2399562560405928
23,-1.2618507306600355
24,-1.2530725223501933
25,-1.216594027489731
26,-1.2599692590457876
27,-1.256321857884987
28,-1.2543308218729865
29,-1.2417832207433956
30,-1.2580274601572567
31,-1.2504423475757087
32,-1.2543913064543735
33,-1.2409198407045345
34,-1.224405819607764
35,-1.2627134028169298
36,-1.2618640231103013
37,-1.2283765655202963
38,-1.2296207860573052
39,-1.21579758162351
40,-1.2187606968830542
41,-1.2062700409250162
42,-1.2199818719293654
43,-1.1995483083823293
44,-1.2408202653078688
45,-1.2279497126943058
46,-1.2315971925086582
47,-1.2313514788126207
48,-1.2082744480408345
49,-1.2582617690882731
50,-1.217258256735261
51,-1.217891889749114
52,-1.2199295673173727
53,-1.2387224964259826
54,-1.2423828754228414
55,-1.2168682924250966
56,-1.2386344044478899
57,-1.1963992561261678
58,-1.2112287541025692
59,-1.2431472306399
60,-1.2200022431992994
61,-1.2249255622785116
62,-1.2460197370076918
63,-1.21284516324702
64,-1.2377047981183553
65,-1.2342003891148519
66,-1.1951512602186694
67,-1.2532940107522552
68,-1.214088046673647
69,-1.2143748175237596
70,-1.2035478414948453
71,-1.2372384612093266
72,-1.2437627733368235
73,-1.2393514102267236
74,-1.235997150853737
75,-1.2295319861972456
76,-1.2518835952601481
77,-1.251029732301063
78,-1.2535953325094635
79,-1.2215998541448534
80,-1.2542081223320716
81,-1.2187244375956428
82,-1.2480335038961823
83,-1.2425388454161967
84,-1.2432335922398519
85,-1.2515610370439352
86,-1.2362484489519572
87,-1.258959504746899
88,-1.2397959601018846
89,-1.233105767633497
90,-1.2340233399695957
91,-1.2460515916961985
92,-1.240334815585736
93,-1.219216100948373
94,-1.198460608413539
95,-1.2250303288096005
96,-1.2016809994412452
97,-1.2000012741875403
98,-1.2162061868254672
99,-1.2172868079745893
100,-1.1993652815671312
101,-1.242279052734375
102,-1.2018910044247342
103,-1.2164876092340529
104,-1.2212131146303158
105,-1.2478677022088434
106,-1.1989796432023196
107,-1.2059131111066366
108,-1.1938193409713274
109,-1.2172374921975677
110,-1.2363619460273034
111,-1.2250479472052191
112,-1.2125509989630316
113,-1.2337887164243717
114,-1.2319177057325226
115,-1.228746001253423
116,-1.2156854216585453
117,-1.2629006769239288
118,-1.2411691724639577
119,-1.2254040904880799
120,-1.2377561588877255
121,-1.2190939519823212
122,-1.2314844819688306
123,-1.2252625927482683
124,-1.205386997498188
125,-1.2460212314251773
126,-1.2096409748509986
127,-1.206060665169942
128,-1.2095848162149645
129,-1.2273573727951836
130,-1.2608129756966817
131,-1.2521705234173648
132,-1.206312041921714
133,-1.2287467091353899
134,-1.2099518136879832
135,-1.2086120290854543
136,-1.218873250115778
137,-1.2406054624577159
138,-1.2136131365274645
139,-1.209707279795224
140,-1.210999164384665
141,-1.2074095735844879
142,-1.210570187912774
143,-1.2489340870650774
144,-1.195802590281693
145,-1.1992863134010552
146,-1.2031659785005235
147,-1.1890546661062338
148,-1.1926855500211422
149,-1.2290072096991784
150,-1.2179991731938629
151,-1.204759184847173
152,-1.2184578807083601
153,-1.2089669139114851
154,-1.1989258441728414
155,-1.2224607959236067
156,-1.2134176037975193
157,-1.2153543688587307
158,-1.1983350773447567
159,-1.1907067839632328
160,-1.1913769908787049
161,-1.2030030869946038
162,-1.203771296235704
163,-1.230936109405203
164,-1.1979576976028914
165,-1.2017154496969635
166,-1.19136078824702
167,-1.1911289175761115
168,-1.2339122811543572
169,-1.2197455966595523
170,-1.2588392434660922
171,-1.2358366976079254
172,-1.2603991793603013
173,-1.2465139959276337
174,-1.231292724609375
175,-1.268652217904317
176,-1.2554914336843588
177,-1.2590033934288418
178,-1.207396910362637
179,-1.2199472643665432
180,-1.2564602881362759
181,-1.2860105848803962
182,-1.237933601300741
183,-1.2608024361207313
184,-1.2624478684258216
185,-1.2477480701564514
186,-1.2098105519088274
187,-1.246806429833481
188,-1.2443095728294136
189,-1.2017370007701755
190,-1.2206543597978414
191,-1.2045472135248871
192,-1.1988764497422681
193,-1.2164589793411726
194,-1.2223575238100033
195,-1.2089644756513773
196,-1.209071208521263
197,-1.202711518277827
198,-1.2144701456286244
199,-1.2192305732019169
200,-1.2036633049089884
201,-1.240684273316688
202,-1.1972491077541076
203,-1.2041821823906653
204,-1.1980077999154317
205,-1.2050952714743073
206,-1.225450102815923
207,-1.2134209859002496
208,-1.2119765920737355
209,-1.2249012583309842
210,-1.200176750261759
211,-1.2073989553549855
212,-1.216748424412049
213,-1.2211733159330702
214,-1.207128780404317
215,-1.228297282740013
216,-1.2071130496939433
217,-1.2187323816043814
218,-1.2221980144068139
219,-1.2542944052784712
220,-1.2080078125
221,-1.208239368556701
222,-1.2008841603072649
223,-1.210571918290915
224,-1.222452222686453
225,-1.2252601544881605
226,-1.2131280014195394
227,-1.230974335031411
228,-1.2476355169237274
229,-1.2550349284693139
230,-1.2672009025652384
231,-1.2389559401679284
232,-1.2574934025400692
233,-1.2779559892477448
234,-1.2542919670183634
235,-1.2673887272471005
236,-1.2633339006876207
237,-1.2515307554264659
238,-1.2837675428882087
239,-1.249981437761759
240,-1.2549373194114448
241,-1.2322721186372423
242,-1.2452933714561856
243,-1.2645680535699904
244,-1.2700773416106235
245,-1.263086613920546
246,-1.209914846518605
247,-1.2069793386557668
248,-1.212446625699702
249,-1.2044236487949018
250,-1.2070848130688225
251,-1.2228325912632894
252,-1.2040257404759986
253,-1.199405473532136
254,-1.1957024643101644
255,-1.2055446978696842
256,-1.210708303549855
257,-1.2013473510742188
258,-1.2380451320372905
259,-1.1996373442030444
260,-1.1974710680774807
261,-1.1983184814453125
262,-1.1914388125704736
263,-1.2199356236408667
264,-1.2082551779206265
265,-1.200811091157579
266,-1.223607092788539
267,-1.2298371619784956
268,-1.1876602959387081
269,-1.215283580662049
270,-1.2215082227569265
271,-1.203705935134101
272,-1.2310855511537533
273,-1.1911102766843187
274,-1.1951312822164948
275,-1.2186754364328287
276,-1.2302768353334408
277,-1.2189843089310164
278,-1.2335191707021183
279,-1.2068674933050096
280,-1.2072483338031572
281,-1.2031254719213111
282,-1.1915995804304929
283,-1.2073647410599226
284,-1.2139028962125484
285,-1.226502644647028
286,-1.2132073628533746
287,-1.2140476187479865
288,-1.2239103022309923
289,-1.211860263470522
290,-1.2165907240405525
291,-1.2094526782478254
292,-1.2113004074883216
293,-1.2221785083259504
294,-1.1935797622523356
295,-1.2196947864650451
296,-1.2111585164807506
297,-1.2111501005507006
298,-1.203512762010712
299,-1.2123960514658505
300,-1.2151066101703447
301,-1.2290879868969475
302,-1.2143146475565803
303,-1.2045948775773196
304,-1.207575217964723
305,-1.2155838799230831
306,-1.2172021767527788
307,-1.174854947119644
308,-1.2099287681972857
309,-1.2148428061573775
310,-1.1836384252174614
311,-1.2175560390826352
312,-1.1769232209195797
313,-1.1861304843548648
314,-1.2099714770759504
315,-1.216329515594797
316,-1.2177570775612114
317,-1.2164960251641028
318,-1.2078287970159471
319,-1.1989813735804606
320,-1.1879249651407457
321,-1.2052629608468912
322,-1.2033777925157056
323,-1.195346085066648
324,-1.192433780001611
325,-1.2137028015765947
326,-1.2183307765685405
327,-1.2073007170687016
328,-1.2054699769954091
329,-1.1909874984898519
330,-1.1970497996536726
331,-1.2040350215951192
332,-1.187088956537935
333,-1.2154679445876289
334,-1.1923537106858086
335,-1.1926955390222294
336,-1.190468070433312
337,-1.197541463006403
338,-1.2168703374174452
339,-1.211872140156854
340,-1.1991100507913177
341,-1.217784213036606
342,-1.2055476867046553
343,-1.2005450061916076
344,-1.2198922068802351
345,-1.2074654176063144
346,-1.1998313038619524
347,-1.193585503961622
348,-1.1983596959064917
349,-1.2057172637624838
350,-1.2054262456205702
351,-1.2289235223199904
352,-1.198194838061775
353,-1.1977831653712951
354,-1.1944804240747826
355,-1.1954569079212307
356,-1.2133054438325548
357,-1.2056858023417365
358,-1.2175211955591576
359,-1.2375475696681701
360,-1.2287116296512564
361,-1.2287621252315561
362,-1.2092609995419217
363,-1.2283137999859053
364,-1.2300485040723663
365,-1.1969319766329736
366,-1.2368097993516431
367,-1.2146858923214
368,-1.2339971483368235
369,-1.2440465553519653
370,-1.2278074284189755
371,-1.2374550730911726
372,-1.2245759472404558
373,-1.2162927843860745
374,-1.2040210212628866
375,-1.2188632611146908
376,-1.2153546048193862
377,-1.1986006903894169
378,-1.2205387390765947
379,-1.213347287522149
380,-1.1985085870801788
381,-1.1985717458823293
382,-1.2285743005496939
383,-1.2053272994523196
384,-1.2078454715689433
385,-1.1894763277978013
386,-1.1951054838514819
387,-1.2085489489368557
388,-1.2076902094575548
389,-1.2410016403984778
390,-1.1960732371536726
391,-1.1974693376993395
392,-1.2034288386708683
393,-1.2051742396403833
394,-1.1987768743456024
395,-1.2093556197648196
396,-1.207310627416237
397,-1.2285645475092621
398,-1.2047373978133054
399,-1.2070878805573453
400,-1.2206268310546875
401,-1.2150165518534553
402,-1.2101144692332475
403,-1.2348653262423486
404,-1.200189334830058
405,-1.216347448604623
406,-1.2237089491382087
407,-1.2404423349911404
408,-1.2051459243617106
409,-1.2022170233972294
410,-1.2011600769672197
411,-1.2088098427684038
412,-1.2300123234385067
413,-1.2271921216827077
414,-1.21438071654015
415,-1.2015019053036404
416,-1.2229257170687016
417,-1.201526130597616
418,-1.2059124818782216
419,-1.2182259313839
420,-1.2186427165552514
421,-1.2174803743657379
422,-1.2264574188547037
423,-1.2091069172338111
424,-1.2073260435124034
425,-1.208493104915029
426,-1.2058603345733327
427,-1.2374002515655202
428,-1.2050782823071038
429,-1.2079598338333601
430,-1.2048730751902788
431,-1.2240441705762726
432,-1.2190918283364207
433,-1.2177700553972697
434,-1.2077402331165432
435,-1.1965394954091495
436,-1.1979384274826836
437,-1.2010763109344798
438,-1.1971013177301466
439,-1.1931940452339722
440,-1.2128043420536
441,-1.1853623537673164
442,-1.1981449717098904
443,-1.2052467582152062
444,-1.1864716834628706
445,-1.2241160599226804
446,-1.1930926608056138
447,-1.1888185481435245
448,-1.1902223567372745
449,-1.1971361612536244
450,-1.2076061288106072
451,-1.2112713056741302
452,-1.20165299877678
453,-1.1956626656129188
454,-1.2156062175318139
455,-1.2013673290763933
456,-1.1962898490355187
457,-1.2099253860945554
458,-1.208669052910559
459,-1.2067205684701192
460,-1.1979606077843106
461,-1.1928194970199741
462,-1.1998797544499034
463,-1.2046187882570876
464,-1.1958485239559842
465,-1.2366876503855913
466,-1.1948721974166399
467,-1.194426939659512
468,-1.1947528013249034
469,-1.194376601386316
470,-1.2189460046512564
471,-1.2105506818319105
472,-1.2201871576997423
473,-1.2363369341978092
474,-1.2282100559509908
475,-1.229873342612355
476,-1.2462199102971971
477,-1.2100592544398356
478,-1.2286648307878947
479,-1.2266132315409553
480,-1.2014347351703447
481,-1.2233948068520457
482,-1.2221209339259826
483,-1.255089278073655
484,-1.2245963185103899
485,-1.2244486857935326
486,-1.2252696715679365
487,-1.2275219160256927
488,-1.2281209414767236
489,-1.2004776000976562
490,-1.1998319330903673
491,-1.2113203068369442
492,-1.213727105524122
493,-1.1917679776850434
494,-1.191482229331105
495,-1.2189106892064674
496,-1.1820602416992188
497,-1.2019544778410922
498,-1.2156837699339562
499,-1.2061937469797037
500,-1.2096876950608086
501,-1.2133641193822486
502,-1.196079136170063
503,-1.2345576335474389
504,-1.1941605400793331
505,-1.207555475923204
506,-1.2002583926485986
507,-1.2138937724005316
508,-1.227978342587186
509,-1.213526145699098
510,-1.218086950557748
511,-1.228835744956105
512,-1.2186244689312178
513,-1.212019379605952
514,-1.218271235829776
515,-1.234919597193138
516,-1.2110443115234375
517,-1.2107271017487515
518,-1.2020337606213756
519,-1.2069070560415995
520,-1.2159401018594957
521,-1.2174681044116462
522,-1.254574018655364
523,-1.2075739595078931
524,-1.196863469389296
525,-1.2149625168633216
526,-1.1962228362093266
527,-1.2239568651336985
528,-1.2114581865133698
529,-1.2157141302049774
530,-1.229661607250725
531,-1.2394664017195554
532,-1.2438550339531653
533,-1.2321183509433393
534,-1.2296391123348904
535,-1.2162714692735181
536,-1.2374936133315884
537,-1.2052310275048326
538,-1.2114360848652947
539,-1.2276939313436293
540,-1.251940461778149
541,-1.2316318000714803
542,-1.2353200224257006
543,-1.225076105176788
544,-1.2327583548948937
545,-1.2210575379047197
546,-1.2133745016510953
547,-1.210512062937943
548,-1.2132256104774082
549,-1.2372008648115336
550,-1.2132907356183553
551,-1.209255965714602
552,-1.2270672198423405
553,-1.232840233242389
554,-1.214975887967139
555,-1.2069258542404961
556,-1.2148579076393364
557,-1.2218384103676707
558,-1.2041405746617269
559,-1.2490040887262404
560,-1.202444096201474
561,-1.2031509556721167
562,-1.2119282201393364
563,-1.1969868768121779
564,-1.2022218999174452
565,-1.233163263379913
566,-1.2232261736368395
567,-1.242876898382128
568,-1.2504856070292365
569,-1.2519969350283908
570,-1.2392963527404155
571,-1.2482122047660278
572,-1.2541834251167847
573,-1.2563580385188466
574,-1.260873853545828
575,-1.2540099153813629
576,-1.243514149459367
577,-1.2452106279196198
578,-1.233467809932748
579,-1.2546732794378221
580,-1.2528861134322649
581,-1.2366001089823615
582,-1.234765829499235
583,-1.2449260593689595
584,-1.2355109932496375
585,-1.2442082670546069
586,-1.2484923687177836
587,-1.2418521212548326
588,-1.2408247485603254
589,-1.2371256720159471
590,-1.2028099138712145
591,-1.262917902051788
592,-1.216048250493315
593,-1.2358914404800259
594,-1.245324832876933
595,-1.2374437469797037
596,-1.24028109520981
597,-1.2356034111730831
598,-1.2732201015826352
599,-1.2390265710575064
600,-1.2432062208038015
601,-1.2350702187449663
602,-1.2383995449420102
603,-1.2374898379610986
604,-1.2164744740908908
605,-1.2604563604925096
606,-1.2656583491059923
607,-1.2550840082856798
608,-1.2587336117459327
609,-1.2623701587165754
610,-1.2591466215467944
611,-1.2635202309519975
612,-1.25198301334971
613,-1.2593935936996616
614,-1.2670434381543976
615,-1.2454089921774323
616,-1.2625980967098904
617,-1.255728416836139
618,-1.2541167269048004
619,-1.2494726279347212
620,-1.2517355692755316
621,-1.2620361957353414
622,-1.2673984802875322
623,-1.2605319465558553
624,-1.197977125030203
625,-1.2143347042123067
626,-1.2056469474871134
627,-1.1996069052784712
628,-1.2050713607945394
629,-1.2123745003926385
630,-1.2102352810889174
631,-1.195215598824098
632,-1.2013636323594556
633,-1.1967161512866462
634,-1.20186009357885
635,-1.2073266727408183
636,-1.2287094273518042
637,-1.1985962857905121
638,-1.2001403336672438
639,-1.1997525716565318
640,-1.1929948157870893
641,-1.2197952270507812
642,-1.2060542942322408
643,-1.2004097220823937
644,-1.2213586237012726
645,-1.1924585558704495
646,-1.2172310426063144
647,-1.2262887856394975
648,-1.2128005666831105
649,-1.2156700842159311
650,-1.203135146308191
651,-1.2038004767034471
652,-1.2162963237959086
653,-1.2035741117811694
654,-1.2312820277263208
655,-1.2066928824198615
656,-1.2115517842400934
657,-1.2002151331950708
658,-1.2117837335645538
659,-1.224003742650612
660,-1.2145252031149323
661,-1.2258571349468428
662,-1.2201982478505558
663,-1.2462271464239691
664,-1.2382121921814595
665,-1.2265807476240336
666,-1.2332008597777062
667,-1.2389590863100033
668,-1.2285591990677351
669,-1.242985676244362
670,-1.22239063695534
671,-1.2306136298425419
672,-1.2367573374325467
673,-1.2361230751902788
674,-1.240452717259987
675,-1.2290191650390625
676,-1.2300308070231958
677,-1.226636748952964
678,-1.2317581963293331
679,-1.231031752124275
680,-1.199710649313386
681,-1.2265637584568299
682,-1.190242885314312
683,-1.1876381156370812
684,-1.2091791211944265
685,-1.2134423010128061
686,-1.204853726416519
687,-1.2103880262866462
688,-1.1931820898940884
689,-1.2030842574601321
690,-1.2104684102166559
691,-1.1945702464310164
692,-1.2281181099488563
693,-1.1910146339652465
694,-1.1951398554536485
695,-1.192024938838998
696,-1.2059805958541399
697,-1.21529372697024
698,-1.2038427136608005
699,-1.1940225817493557
700,-1.2257330196419942
701,-1.1988550559761597
702,-1.1974644611791236
703,-1.2086381420646746
704,-1.22221468895981
705,-1.2110994476632975
706,-1.2007412468035197
707,-1.197497102403149
708,-1.2098127542082797
709,-1.203046661062339
710,-1.2423599085856958
711,-1.198716075150008
712,-1.199206794660116
713,-1.1960785855951996
714,-1.1942884307546713
715,-1.1947450146232683
716,-1.222862636920103
717,-1.2089510258940077
718,-1.2095524109515947
719,-1.2210189976643042
720,-1.2169126530283505
721,-1.2205549417082797
722,-1.2006036817413015
723,-1.2255163291065962
724,-1.2252439518564755
725,-1.1998050335756283
726,-1.2146846338645698
727,-1.1992856055190884
728,-1.2177810668945312
729,-1.2269367335997905
730,-1.2137329258869605
731,-1.203608562036888
732,-1.214372772531411
733,-1.2118525554224389
734,-1.2053343782719879
735,-1.2129392328950548
736,-1.2139740776769894
737,-1.2008442043029155
738,-1.2288457339571923
739,-1.207889281597334
740,-1.2097842816225033
